>TARREC   rectangular prism; AX,AY,AZ= 16.0000 32.0000 32.0000
     65117 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -16.50000 -16.50000 -16.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
   JA  IX  IY  IZ ICOMP(x,y,z)
 153  -5  -8 -23   1   1   1
 154  -4  -8 -23   1   1   1
 155  -3  -8 -23   1   1   1
 156  -2  -8 -23   1   1   1
 157  -1  -8 -23   1   1   1
 158   0  -8 -23   1   1   1
 159   1  -8 -23   1   1   1
 160   2  -8 -23   1   1   1
 161   3  -8 -23   1   1   1
 162   4  -8 -23   1   1   1
 163   5  -8 -23   1   1   1
 164  -6  -7 -23   1   1   1
 165  -5  -7 -23   1   1   1
 166  -4  -7 -23   1   1   1
 167  -3  -7 -23   1   1   1
 168  -2  -7 -23   1   1   1
 169  -1  -7 -23   1   1   1
 170   0  -7 -23   1   1   1
 171   1  -7 -23   1   1   1
 172   2  -7 -23   1   1   1
 173   3  -7 -23   1   1   1
 174   4  -7 -23   1   1   1
 175   5  -7 -23   1   1   1
 176   6  -7 -23   1   1   1
 177  -7  -6 -23   1   1   1
 178  -6  -6 -23   1   1   1
 179  -5  -6 -23   1   1   1
 180  -4  -6 -23   1   1   1
 181  -3  -6 -23   1   1   1
 182  -2  -6 -23   1   1   1
 183  -1  -6 -23   1   1   1
 184   0  -6 -23   1   1   1
 185   1  -6 -23   1   1   1
 186   2  -6 -23   1   1   1
 187   3  -6 -23   1   1   1
 188   4  -6 -23   1   1   1
 189   5  -6 -23   1   1   1
 190   6  -6 -23   1   1   1
 191   7  -6 -23   1   1   1
 192  -8  -5 -23   1   1   1
 193  -7  -5 -23   1   1   1
 194  -6  -5 -23   1   1   1
 195  -5  -5 -23   1   1   1
 196  -4  -5 -23   1   1   1
 197  -3  -5 -23   1   1   1
 198  -2  -5 -23   1   1   1
 199  -1  -5 -23   1   1   1
 200   0  -5 -23   1   1   1
 201   1  -5 -23   1   1   1
 202   2  -5 -23   1   1   1
 203   3  -5 -23   1   1   1
 204   4  -5 -23   1   1   1
 205   5  -5 -23   1   1   1
 206   6  -5 -23   1   1   1
 207   7  -5 -23   1   1   1
 208   8  -5 -23   1   1   1
 209  -8  -4 -23   1   1   1
 210  -7  -4 -23   1   1   1
 211  -6  -4 -23   1   1   1
 212  -5  -4 -23   1   1   1
 213  -4  -4 -23   1   1   1
 214  -3  -4 -23   1   1   1
 215  -2  -4 -23   1   1   1
 216  -1  -4 -23   1   1   1
 217   0  -4 -23   1   1   1
 218   1  -4 -23   1   1   1
 219   2  -4 -23   1   1   1
 220   3  -4 -23   1   1   1
 221   4  -4 -23   1   1   1
 222   5  -4 -23   1   1   1
 223   6  -4 -23   1   1   1
 224   7  -4 -23   1   1   1
 225   8  -4 -23   1   1   1
 226  -9  -3 -23   1   1   1
 227  -8  -3 -23   1   1   1
 228  -7  -3 -23   1   1   1
 229  -6  -3 -23   1   1   1
 230  -5  -3 -23   1   1   1
 231  -4  -3 -23   1   1   1
 232  -3  -3 -23   1   1   1
 233  -2  -3 -23   1   1   1
 234  -1  -3 -23   1   1   1
 235   0  -3 -23   1   1   1
 236   1  -3 -23   1   1   1
 237   2  -3 -23   1   1   1
 238   3  -3 -23   1   1   1
 239   4  -3 -23   1   1   1
 240   5  -3 -23   1   1   1
 241   6  -3 -23   1   1   1
 242   7  -3 -23   1   1   1
 243   8  -3 -23   1   1   1
 244   9  -3 -23   1   1   1
 245  -9  -2 -23   1   1   1
 246  -8  -2 -23   1   1   1
 247  -7  -2 -23   1   1   1
 248  -6  -2 -23   1   1   1
 249  -5  -2 -23   1   1   1
 250  -4  -2 -23   1   1   1
 251  -3  -2 -23   1   1   1
 252  -2  -2 -23   1   1   1
 253  -1  -2 -23   1   1   1
 254   0  -2 -23   1   1   1
 255   1  -2 -23   1   1   1
 256   2  -2 -23   1   1   1
 257   3  -2 -23   1   1   1
 258   4  -2 -23   1   1   1
 259   5  -2 -23   1   1   1
 260   6  -2 -23   1   1   1
 261   7  -2 -23   1   1   1
 262   8  -2 -23   1   1   1
 263   9  -2 -23   1   1   1
 264  -9  -1 -23   1   1   1
 265  -8  -1 -23   1   1   1
 266  -7  -1 -23   1   1   1
 267  -6  -1 -23   1   1   1
 268  -5  -1 -23   1   1   1
 269  -4  -1 -23   1   1   1
 270  -3  -1 -23   1   1   1
 271  -2  -1 -23   1   1   1
 272  -1  -1 -23   1   1   1
 273   0  -1 -23   1   1   1
 274   1  -1 -23   1   1   1
 275   2  -1 -23   1   1   1
 276   3  -1 -23   1   1   1
 277   4  -1 -23   1   1   1
 278   5  -1 -23   1   1   1
