>TARREC   rectangular prism; AX,AY,AZ= 16.0000 32.0000 32.0000
     75999 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -16.50000 -16.50000 -16.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
   JA  IX  IY  IZ ICOMP(x,y,z)
 171  10 -17 -23   2   2   2
 172  11 -17 -23   2   2   2
 173  12 -17 -23   2   2   2
 174  13 -17 -23   2   2   2
 175  14 -17 -23   2   2   2
 176 -14 -16 -23   2   2   2
 177 -13 -16 -23   2   2   2
 178 -12 -16 -23   2   2   2
 179 -11 -16 -23   2   2   2
 180 -10 -16 -23   2   2   2
 181  -9 -16 -23   2   2   2
 182  -8 -16 -23   2   2   2
 183  -7 -16 -23   2   2   2
 184  -6 -16 -23   2   2   2
 185  -5 -16 -23   2   2   2
 186  -4 -16 -23   2   2   2
 187  -3 -16 -23   2   2   2
 188  -2 -16 -23   2   2   2
 189  -1 -16 -23   2   2   2
 190   0 -16 -23   2   2   2
 191   1 -16 -23   2   2   2
 192   2 -16 -23   2   2   2
 193   3 -16 -23   2   2   2
 194   4 -16 -23   2   2   2
 195   5 -16 -23   2   2   2
 196   6 -16 -23   2   2   2
 197   7 -16 -23   2   2   2
 198   8 -16 -23   2   2   2
 199   9 -16 -23   2   2   2
 200  10 -16 -23   2   2   2
 201  11 -16 -23   2   2   2
 202  12 -16 -23   2   2   2
 203  13 -16 -23   2   2   2
 204  14 -16 -23   2   2   2
 205 -15 -15 -23   2   2   2
 206 -14 -15 -23   2   2   2
 207 -13 -15 -23   2   2   2
 208 -12 -15 -23   2   2   2
 209 -11 -15 -23   2   2   2
 210 -10 -15 -23   2   2   2
 211  -9 -15 -23   2   2   2
 212  -8 -15 -23   2   2   2
 213  -7 -15 -23   2   2   2
 214  -6 -15 -23   2   2   2
 215  -5 -15 -23   2   2   2
 216  -4 -15 -23   2   2   2
 217  -3 -15 -23   2   2   2
 218  -2 -15 -23   2   2   2
 219  -1 -15 -23   2   2   2
 220   0 -15 -23   2   2   2
 221   1 -15 -23   2   2   2
 222   2 -15 -23   2   2   2
 223   3 -15 -23   2   2   2
 224   4 -15 -23   2   2   2
 225   5 -15 -23   2   2   2
 226   6 -15 -23   2   2   2
 227   7 -15 -23   2   2   2
 228   8 -15 -23   2   2   2
 229   9 -15 -23   2   2   2
 230  10 -15 -23   2   2   2
 231  11 -15 -23   2   2   2
 232  12 -15 -23   2   2   2
 233  13 -15 -23   2   2   2
 234  14 -15 -23   2   2   2
 235  15 -15 -23   2   2   2
 236 -15 -14 -23   2   2   2
 237 -14 -14 -23   2   2   2
 238 -13 -14 -23   2   2   2
 239 -12 -14 -23   2   2   2
 240 -11 -14 -23   2   2   2
 241 -10 -14 -23   2   2   2
 242  -9 -14 -23   2   2   2
 243  -8 -14 -23   2   2   2
 244  -7 -14 -23   2   2   2
 245  -6 -14 -23   2   2   2
 246  -5 -14 -23   2   2   2
 247  -4 -14 -23   2   2   2
 248  -3 -14 -23   2   2   2
 249  -2 -14 -23   2   2   2
 250  -1 -14 -23   2   2   2
 251   0 -14 -23   2   2   2
 252   1 -14 -23   2   2   2
 253   2 -14 -23   2   2   2
 254   3 -14 -23   2   2   2
 255   4 -14 -23   2   2   2
 256   5 -14 -23   2   2   2
 257   6 -14 -23   2   2   2
 258   7 -14 -23   2   2   2
 259   8 -14 -23   2   2   2
 260   9 -14 -23   2   2   2
 261  10 -14 -23   2   2   2
 262  11 -14 -23   2   2   2
 263  12 -14 -23   2   2   2
 264  13 -14 -23   2   2   2
 265  14 -14 -23   2   2   2
 266  15 -14 -23   2   2   2
 267 -16 -13 -23   2   2   2
 268 -15 -13 -23   2   2   2
 269 -14 -13 -23   2   2   2
 270 -13 -13 -23   2   2   2
 271 -12 -13 -23   2   2   2
 272 -11 -13 -23   2   2   2
 273 -10 -13 -23   2   2   2
 274  -9 -13 -23   2   2   2
 275  -8 -13 -23   2   2   2
 276  -7 -13 -23   2   2   2
 277  -6 -13 -23   2   2   2
 278  -5 -13 -23   2   2   2
 279  -4 -13 -23   2   2   2
 280  -3 -13 -23   2   2   2
 281  -2 -13 -23   2   2   2
 282  -1 -13 -23   2   2   2
 283   0 -13 -23   2   2   2
 284   1 -13 -23   2   2   2
 285   2 -13 -23   2   2   2
 286   3 -13 -23   2   2   2
 287   4 -13 -23   2   2   2
 288   5 -13 -23   2   2   2
 289   6 -13 -23   2   2   2
 290   7 -13 -23   2   2   2
 291   8 -13 -23   2   2   2
 292   9 -13 -23   2   2   2
 293  10 -13 -23   2   2   2
 294  11 -13 -23   2   2   2
 295  12 -13 -23   2   2   2
 296  13 -13 -23   2   2   2
 297  14 -13 -23   2   2   2
 298  15 -13 -23   2   2   2
 299  16 -13 -23   2   2   2
 300 -17 -12 -23   2   2   2
 301 -16 -12 -23   2   2   2
 302 -15 -12 -23   2   2   2
 303 -14 -12 -23   2   2   2
 304 -13 -12 -23   2   2   2
 305 -12 -12 -23   2   2   2
 306 -11 -12 -23   2   2   2
 307 -10 -12 -23   2   2   2
 308  -9 -12 -23   2   2   2
 309  -8 -12 -23   2   2   2
 310  -7 -12 -23   2   2   2
