>TARREC   rectangular prism; AX,AY,AZ= 16.0000 32.0000 32.0000
     65117 = NAT
  1.000000  0.000000  0.000000 = A_1 vector
  0.000000  1.000000  0.000000 = A_2 vector
  1.000000  1.000000  1.000000 = lattice spacings (d_x,d_y,d_z)/d
 -16.50000 -16.50000 -16.50000 = lattice offset x0(1-3) = (x_TF,y_TF,z_TF)/d for dipole 0 0 0
   JA  IX  IY  IZ ICOMP(x,y,z)
 149  -2  -4 -23   2   2   2
 150  -1  -4 -23   2   2   2
 151   0  -4 -23   2   2   2
 152   1  -4 -23   2   2   2
 153   2  -4 -23   2   2   2
 154   3  -4 -23   2   2   2
 155   4  -4 -23   2   2   2
 156   5  -4 -23   2   2   2
 157   6  -4 -23   2   2   2
 158   7  -4 -23   2   2   2
 159   8  -4 -23   2   2   2
 160  -9  -3 -23   2   2   2
 161  -8  -3 -23   2   2   2
 162  -7  -3 -23   2   2   2
 163  -6  -3 -23   2   2   2
 164  -5  -3 -23   2   2   2
 165  -4  -3 -23   2   2   2
 166  -3  -3 -23   2   2   2
 167  -2  -3 -23   2   2   2
 168  -1  -3 -23   2   2   2
 169   0  -3 -23   2   2   2
 170   1  -3 -23   2   2   2
 171   2  -3 -23   2   2   2
 172   3  -3 -23   2   2   2
 173   4  -3 -23   2   2   2
 174   5  -3 -23   2   2   2
 175   6  -3 -23   2   2   2
 176   7  -3 -23   2   2   2
 177   8  -3 -23   2   2   2
 178   9  -3 -23   2   2   2
 179  -9  -2 -23   2   2   2
 180  -8  -2 -23   2   2   2
 181  -7  -2 -23   2   2   2
 182  -6  -2 -23   2   2   2
 183  -5  -2 -23   2   2   2
 184  -4  -2 -23   2   2   2
 185  -3  -2 -23   2   2   2
 186  -2  -2 -23   2   2   2
 187  -1  -2 -23   2   2   2
 188   0  -2 -23   2   2   2
 189   1  -2 -23   2   2   2
 190   2  -2 -23   2   2   2
 191   3  -2 -23   2   2   2
 192   4  -2 -23   2   2   2
 193   5  -2 -23   2   2   2
 194   6  -2 -23   2   2   2
 195   7  -2 -23   2   2   2
 196   8  -2 -23   2   2   2
 197   9  -2 -23   2   2   2
 198  -9  -1 -23   2   2   2
 199  -8  -1 -23   2   2   2
 200  -7  -1 -23   2   2   2
 201  -6  -1 -23   2   2   2
 202  -5  -1 -23   2   2   2
 203  -4  -1 -23   2   2   2
 204  -3  -1 -23   2   2   2
 205  -2  -1 -23   2   2   2
 206  -1  -1 -23   2   2   2
 207   0  -1 -23   2   2   2
 208   1  -1 -23   2   2   2
 209   2  -1 -23   2   2   2
 210   3  -1 -23   2   2   2
 211   4  -1 -23   2   2   2
 212   5  -1 -23   2   2   2
 213   6  -1 -23   2   2   2
 214   7  -1 -23   2   2   2
 215   8  -1 -23   2   2   2
 216   9  -1 -23   2   2   2
 217  -9   0 -23   2   2   2
 218  -8   0 -23   2   2   2
 219  -7   0 -23   2   2   2
 220  -6   0 -23   2   2   2
 221  -5   0 -23   2   2   2
 222  -4   0 -23   2   2   2
 223  -3   0 -23   2   2   2
 224  -2   0 -23   2   2   2
 225  -1   0 -23   2   2   2
 226   0   0 -23   2   2   2
 227   1   0 -23   2   2   2
 228   2   0 -23   2   2   2
 229   3   0 -23   2   2   2
 230   4   0 -23   2   2   2
 231   5   0 -23   2   2   2
 232   6   0 -23   2   2   2
 233   7   0 -23   2   2   2
 234   8   0 -23   2   2   2
 235   9   0 -23   2   2   2
 236  -4 -11 -22   2   2   2
 237  -3 -11 -22   2   2   2
 238  -2 -11 -22   2   2   2
 239  -1 -11 -22   2   2   2
 240   0 -11 -22   2   2   2
 241   1 -11 -22   2   2   2
 242   2 -11 -22   2   2   2
 243   3 -11 -22   2   2   2
 244   4 -11 -22   2   2   2
 245  -6 -10 -22   2   2   2
 246  -5 -10 -22   2   2   2
 247  -4 -10 -22   2   2   2
 248  -3 -10 -22   2   2   2
 249  -2 -10 -22   2   2   2
 250  -1 -10 -22   2   2   2
 251   0 -10 -22   2   2   2
 252   1 -10 -22   2   2   2
 253   2 -10 -22   2   2   2
 254   3 -10 -22   2   2   2
 255   4 -10 -22   2   2   2
 256   5 -10 -22   2   2   2
 257   6 -10 -22   2   2   2
 258  -7  -9 -22   2   2   2
 259  -6  -9 -22   2   2   2
 260  -5  -9 -22   2   2   2
 261  -4  -9 -22   2   2   2
 262  -3  -9 -22   2   2   2
 263  -2  -9 -22   2   2   2
 264  -1  -9 -22   2   2   2
 265   0  -9 -22   2   2   2
 266   1  -9 -22   2   2   2
 267   2  -9 -22   2   2   2
 268   3  -9 -22   2   2   2
 269   4  -9 -22   2   2   2
 270   5  -9 -22   2   2   2
 271   6  -9 -22   2   2   2
 272   7  -9 -22   2   2   2
 273  -8  -8 -22   2   2   2
 274  -7  -8 -22   2   2   2
 275  -6  -8 -22   2   2   2
 276  -5  -8 -22   2   2   2
 277  -4  -8 -22   2   2   2
 278  -3  -8 -22   2   2   2
 279  -2  -8 -22   2   2   2
 280  -1  -8 -22   2   2   2
